职业技能关系主键,canonical_skill,职业小类代码,职业小类名称,关联岗位数,技能岗位总数,职业岗位总数,全样本岗位数,掌握技能后进入该职业概率,职业内技能需求占比,职业技能相对集中度,平滑后职业匹配概率,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,2026年职业内技能需求占比预测,2027年职业内技能需求占比预测,2028年职业内技能需求占比预测,职业排名
GJ0000088,MIPI,2-02-30,管理（工业）工程技术人员,8,830.0,146845,1741643,0.00963855421686747,5.4479212775375394e-05,0.11431727659728089,0.011395625043843827,MIPI,JN0558,MIPI（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,,,,5
GJ0000089,同理心,2-02-18,建筑工程技术人员,5,2311.0,32576,1741643,0.0021635655560363477,0.00015348722986247544,0.11567285135411998,0.002305484149352267,同理心,JN0819,同理心,非技术性能力,1.0,表达沟通与通用办公协作,,,,32
GJ0000090,预算管理,2-02-06,化工工程技术人员,3,10058.0,10429,1741643,0.0002982700338039372,0.00028765941125707164,0.04981109564525751,0.00030956146845027946,预算管理,JN0698,预算管理,专业知识与行业经验,12.0,财务会计与税务管理,,,,50
GJ0000091,Word,3-01-04,社区和村镇工作人员,1,53308.0,40,1741643,1.8758910482479177e-05,0.025,0.816783128235912,1.8760488606083873e-05,Word,JN0040,Word（办公软件与通用数字工具）,方法、标准与流程,1.0,表达沟通与通用办公协作,,,,118
GJ0000092,SPC,2-10-05,翻译人员,2,16599.0,3752,1741643,0.00012048918609554793,0.0005330490405117271,0.05592994337393613,0.00012293674426473253,SPC,JN0187,统计过程控制（SPC）,方法、标准与流程,6.0,质量管理与持续改进,,,,43
GJ0000093,口头表达,2-02-05,冶金工程技术人员,3,40985.0,118,1741643,7.319751128461633e-05,0.025423728813559324,1.080372314798924,7.319485531853336e-05,口头表达,JN0788,口头表达,非技术性能力,1.0,表达沟通与通用办公协作,,,,92
GJ0000094,PMC,6-29-02,土木工程建筑施工人员,1,8192.0,38,1741643,0.0001220703125,0.02631578947368421,5.5948132966694075,0.00012182615313760093,PMC,JN0263,PMC（物流采购供应链）,方法、标准与流程,4.0,供应链与物流管理,,,,46
GJ0000095,机动车驾驶,2-01-08,医学研究人员,1,7821.0,5330,1741643,0.00012786088735455825,0.0001876172607879925,0.041780116216670715,0.00013534071844577744,机动车驾驶,JN0212,机动车驾驶,工具软件与技术平台,9.0,工业自动化与电气控制,,,,82
GJ0000096,报关,2-06-12,知识产权专业人员,2,3653.0,1683,1741643,0.0005474952094169176,0.0011883541295306002,0.5665723107632255,0.0005497758176991582,报关,JN0303,报关,方法、标准与流程,4.0,供应链与物流管理,,,,29
GJ0000097,CISA,4-08-08,专业化设计服务人员,1,815.0,18739,1741643,0.001226993865030675,5.336464058914563e-05,0.11403945120196488,0.001455314506677484,CISA,JN0728,注册信息系统审计师（CISA）,专业知识与行业经验,22.0,网络运维与信息安全,,,,18
GJ0000098,执行力,2-02-02,测绘和地理信息工程技术人员,1,148007.0,50,1741643,6.756437195538049e-06,0.02,0.23534603093096945,6.759403152678572e-06,执行力,JN0777,执行力,非技术性能力,2.0,组织协调与商业执行,,,,162
GJ0000099,推荐算法,4-08-10,生产现场技术工艺人员,2,716.0,97012,1741643,0.002793296089385475,2.0616006267265905e-05,0.05014765782589357,0.004231017031419282,推荐算法,JN0403,推荐算法,方法、标准与流程,15.0,人工智能与数据挖掘,,,,10
