城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0000058,8D,东莞,2026,0.0371757276930071,0.0069163754369525,0.0685469834219215,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,371.75727693007104,11
CS0000059,8D,东莞,2027,0.0529583514233413,0.0215870956944269,0.0843296071522558,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,529.583514233413,11
CS0000060,8D,东莞,2028,0.0783883820132187,0.0470171262843042,0.1097596377421331,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,783.883820132187,10
CS0000061,8D,中山,2026,0.0300122946296824,0.0106201712796758,0.0496677590826344,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,300.122946296824,14
CS0000062,8D,中山,2027,0.0425667402149941,0.022911275762042,0.0622222046679462,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,425.667402149941,14
CS0000063,8D,中山,2028,0.0622988128931575,0.0426433484402054,0.0819542773461095,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,622.988128931575,14
CS0000064,8D,佛山,2026,0.0176115500137477,0.0058973508031787,0.0295198325185495,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,176.115500137477,23
CS0000065,8D,佛山,2027,0.0257908250460868,0.013882542541285,0.0376991075508886,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,257.90825046086803,20
CS0000066,8D,佛山,2028,0.0385742559950171,0.0266659734902154,0.0504825384998189,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,385.74255995017097,19
CS0000067,8D,北京,2026,0.0012045734742689,0.0002113026889225,0.0051373048690315,seasonal_3y+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,12.045734742689,33
CS0000068,8D,北京,2027,0.0011142243518891,0.000118304083162,0.0050469557466517,seasonal_3y+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,11.142243518891,33
CS0000069,8D,北京,2028,0.0010238752295094,2.530547740148629e-05,0.0049566066242719,seasonal_3y+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,10.238752295094,33
CS0000070,8D,南京,2026,0.0116601727537853,0.0034214672017068,0.0204518679230992,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,116.601727537853,26
CS0000071,8D,南京,2027,0.0170583590058631,0.0085221838722919,0.025850054175177,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,170.583590058631,26
