组合职业关系主键,技能组合编号,职业小类代码,职业小类名称,组合职业关联岗位数,组合岗位总数,职业岗位总数,掌握组合后进入该职业概率,职业内组合需求占比,职业组合相对集中度,职业排名
ZG00000078,ZH04781,2-02-38,数字技术工程技术人员,3146,3444,145051,0.913472706155633,0.021688923206320536,53.81059633068624,1
ZG00000079,ZH03832,2-02-10,信息和通信工程技术人员,1285,2100,728309,0.611904761904762,0.001764361006111417,7.178953046420839,1
ZG00000080,ZH04866,2-02-11,电气工程技术人员,1262,236333,79149,0.005339922905391968,0.015944610797356883,0.5764776992199767,28
ZG00000081,ZH00446,2-01-08,医学研究人员,501,1515,19852,0.3306930693069307,0.025236751964537577,142.33568087012208,1
ZG00000082,ZH00935,4-08-10,生产现场技术工艺人员,581,10869,309768,0.05345477964854172,0.0018755972211461482,1.4744937924499664,3
ZG00000083,ZH01776,2-06-03,会计专业人员,2037,2107,305561,0.9667774086378738,0.0066664266709429544,27.034698304119257,1
ZG00000084,ZH01305,2-02-38,数字技术工程技术人员,3470,5072,145051,0.6841482649842271,0.023922620319749604,40.30161587677842,1
ZG00000085,ZH04081,2-02-38,数字技术工程技术人员,1019,1236,145051,0.8244336569579288,0.007025115304272291,48.56550876347274,1
ZG00000086,ZH01930,2-02-11,电气工程技术人员,110,1651,79149,0.06662628709872805,0.0013897838254431515,7.192719703024447,5
ZG00000087,ZH03382,2-02-10,信息和通信工程技术人员,1893,2395,728309,0.7903966597077244,0.0025991715055010993,9.273045188317672,1
ZG00000088,ZH02406,2-02-30,管理（工业）工程技术人员,1699,21668,518059,0.07841055935019384,0.0032795492405305188,1.2932672673905687,4
ZG00000089,ZH03890,4-01-02,销售人员,718,17891,1199332,0.040131909898831815,0.0005986665910690284,0.285919228776849,6
ZG00000090,ZH00161,4-04-04,信息通信网络运行管理人员,310,1165,64329,0.26609442060085836,0.004818977444076544,35.34450671597862,2
ZG00000091,ZH02985,2-02-34,工业（产品）设计工程技术人员,987,14241,50371,0.06930693069306931,0.019594608008576365,11.756797827447077,6
ZG00000092,ZH00762,4-01-01,购销服务人员,288,13496,131360,0.02133965619442798,0.002192448233861145,1.388088752060429,4
ZG00000093,ZH01142,2-06-04,审计专业人员,1041,129186,55277,0.008058148715805118,0.018832425782875337,1.24561482918099,24
ZG00000094,ZH00305,2-01-08,医学研究人员,1645,4267,19852,0.3855167565033982,0.08286318758815232,165.93268839517893,2
ZG00000095,ZH02552,2-06-03,会计专业人员,2740,3369,305561,0.813297714455328,0.008967112949623806,22.742834229761463,1
ZG00000096,ZH03720,2-02-38,数字技术工程技术人员,335,16251,145051,0.020614116054396652,0.0023095325092553653,1.214330620107293,3
ZG00000097,ZH01236,4-04-05,软件和信息技术服务人员,6449,15983,749774,0.4034912094099981,0.00860125851256512,4.598293181296892,2
ZG00000098,ZH00469,4-01-01,购销服务人员,439,2653,131360,0.16547304937806256,0.0033419610231425092,10.763588528235221,2
ZG00000099,ZH04954,4-04-05,软件和信息技术服务人员,796,2785,749774,0.28581687612208256,0.0010616532448444464,3.2572451689679474,2
ZG00000100,ZH04393,2-06-03,会计专业人员,1797,1807,305561,0.9944659656889873,0.005880986120610942,27.808973519556808,1
ZG00000101,ZH01113,1-06-01,企业负责人,47,30841,46834,0.0015239453973606562,0.0010035444335311952,0.2780360510948755,21
ZG00000102,ZH01832,6-31-03,检验试验人员,91,355,85718,0.2563380281690141,0.0010616206631045989,25.552533512280196,2
ZG00000103,ZH01644,2-06-08,人力资源专业人员,1424,1596,320346,0.8922305764411027,0.004445193634382823,23.79856404322976,1
ZG00000104,ZH03572,4-04-05,软件和信息技术服务人员,700,3864,749774,0.18115942028985507,0.0009336146625516489,2.0645409555876606,2
ZG00000105,ZH01872,4-07-02,商务咨询服务人员,101,7356,246669,0.013730288200108754,0.00040945558623094104,0.47561773097375865,12
ZG00000106,ZH02520,2-06-08,人力资源专业人员,6147,116889,320346,0.05258835305289634,0.019188627296735403,1.402694909929424,5
ZG00000107,ZH00405,2-02-09,电子工程技术人员,1541,9660,99354,0.1595238095238095,0.015510195865289771,13.719336628908462,2
ZG00000108,ZH03577,2-02-30,管理（工业）工程技术人员,3224,3876,518059,0.8317853457172343,0.006223229400512297,13.719080312983227,1
ZG00000109,ZH02080,2-02-30,管理（工业）工程技术人员,64,13555,518059,0.004721504979712283,0.00012353805261562873,0.07787430537017809,2
ZG00000110,ZH01408,2-02-10,信息和通信工程技术人员,1538,2401,728309,0.6405664306538942,0.0021117410329956105,7.51521579022036,1
ZG00000111,ZH02414,4-07-02,商务咨询服务人员,535,5280,246669,0.10132575757575757,0.0021688984023124106,3.5099282844621746,3
ZG00000112,ZH00278,2-02-10,信息和通信工程技术人员,113,1007,728309,0.11221449851042702,0.0001551539250510429,1.3165163373240738,2
ZG00000113,ZH01205,4-04-05,软件和信息技术服务人员,53,657,749774,0.0806697108066971,7.0687967307482e-05,0.9193334885338296,3
ZG00000114,ZH03764,2-02-38,数字技术工程技术人员,458,14941,145051,0.03065390536108694,0.003157510117131216,1.8057517386441468,3
