技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JZ05402,嵌入式与电子硬件开发+云计算、系统运维与DevOps,技能簇组合,嵌入式与电子硬件开发,云计算、系统运维与DevOps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126276459051869,,,,9.104955891898278,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,技术性技能,13.0,技术性技能,11.0,13.0,21163.0,7469.0,18500.0,2.933692976483528,0.8969427774890139,53.0,218.0,4.13051414764585,信息和通信工程技术人员、软件和信息技术服务人员、数字技术工程技术人员、电子工程技术人员、信息通信网络运行管理人员,上海、深圳、北京、南京、成都,90476.0,607189.0,531886.0,0.1900863395945984,技术性技能×技术性技能,0.0111722430599778,0.0082341770709547,0.1860768264013843,-0.0057228927323093,0.028067378852265,28.0,43023.95878464691,1.123488563614679,-0.5706548175941547,2.8464978876779927,0.3206246854916161,591480.0,0.0135381414943768,0.0007537961645811,0.0294116633091115,7.210335133136958,可预测,seasonal_3y,0.0051341318093482,90476.0
JZ05403,嵌入式与电子硬件开发+大数据工程与数据仓库,技能簇组合,嵌入式与电子硬件开发,大数据工程与数据仓库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034692635423006,,,,9.521407386523174,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,技术性技能,19.0,技术性技能,11.0,19.0,4615.0,2052.0,16500.0,3.2199857920909305,0.8747562296858071,53.0,169.0,10.822481899794184,信息和通信工程技术人员、数字技术工程技术人员、软件和信息技术服务人员、管理（工业）工程技术人员、会计专业人员,北京、深圳、上海、南京、武汉,16831.0,607189.0,245363.0,-0.0073362063182273,技术性技能×技术性技能,0.0090366963402081,0.0101116249159086,0.378842800217951,-0.0116438986679358,0.0297172913483521,30.0,11958.0896916349,0.9077650551214412,-1.157637082973018,3.016325671687588,0.5510440730442924,591480.0,0.0044214042809529,0.0019070219641157,0.0069357865977902,27.445039186065937,可预测,trend_seasonal,0.0011979556925691,16831.0
JZ05404,金融风控、投资与合规+医药研发与药事管理,技能簇组合,金融风控、投资与合规,医药研发与药事管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0116927030499763,,,,24.060504840564008,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,专业知识与职能,18.0,专业知识与职能,14.0,18.0,17407.0,6916.0,10500.0,2.6950131570502536,0.6626069971850405,98.0,335.0,22.553582115354946,销售人员、管理（工业）工程技术人员、法律顾问、商务专业人员、医疗辅助服务人员,上海、北京、成都、武汉、广州,55455.0,804400.0,482409.0,0.0376777117807816,专业知识与职能×专业知识与职能,-0.011903716795816,0.0074709149071087,0.117386470321125,-0.0269094910082187,0.0031020574165866,51.0,25715.110257689787,-1.1833147847507213,-2.6550656544105538,0.3106873775614304,0.2306541171222106,591480.0,0.0140987535340327,0.0090331291558393,0.019164377912226,20.577367557976856,可预测,trend_seasonal,0.0042797888815884,55455.0
JZ05405,人力资源与行政管理+安全环保与职业健康,技能簇组合,人力资源与行政管理,安全环保与职业健康,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052833570027727,,,,-1.2179604534944943,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,专业知识与职能,20.0,专业知识与职能,17.0,20.0,8797.0,3125.0,10500.0,3.805118110236221,0.5033534159372514,87.0,317.0,18.57410660189799,生产现场技术工艺人员、安全生产管理人员、行政事务处理人员、管理（工业）工程技术人员、人力资源专业人员,上海、宁波、苏州、北京、深圳,24141.0,530022.0,314324.0,0.0346994395826475,专业知识与职能×专业知识与职能,0.031084476309889,0.0168588337727533,0.0726277091384641,-0.0029884977374869,0.065157450357265,41.0,11843.101630706651,3.157264365616635,-0.2984036623239969,6.732706218229907,0.1684344753314244,591480.0,0.0051615609574232,0.0017324453028021,0.0085906766120444,-2.305277596905353,可预测,trend_seasonal,0.0013808796551422,24141.0
JZ05406,组织协调与商业执行+视觉设计与数字内容制作,技能簇组合,组织协调与商业执行,视觉设计与数字内容制作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0617451139514438,,,,-1.8296829342143857,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,非技术性技能,5.0,技术性技能,2.0,5.0,107290.0,36521.0,11500.0,2.7467702111528887,0.6677882374871843,166.0,368.0,23.609195425761623,商务专业人员、销售人员、专业化设计服务人员、软件和信息技术服务人员、电子商务服务人员,北京、深圳、上海、广州、杭州,653340.0,4603457.0,915310.0,0.1058336287983955,技术性技能×非技术性技能,0.013899446687229,0.0044385244986056,0.0024383689364651,0.0050647846658678,0.0227341087085901,80.0,98314.5695047998,1.3996493105557182,0.5077632368848838,2.2994498053895542,0.013004634327814,591480.0,0.0615621456580224,0.045835073860675,0.0772892174553697,-0.2963283759834456,可预测,seasonal_naive,0.0052241881158973,653340.0
JZ05407,组织协调与商业执行+工业自动化与电气控制,技能簇组合,组织协调与商业执行,工业自动化与电气控制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0986525326300128,,,,434.73912382864427,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,非技术性技能,9.0,技术性技能,2.0,9.0,161818.0,58351.0,10500.0,2.7389182224338593,0.5169635022061823,202.0,399.0,23.481509653207763,销售人员、机械工程技术人员、管理（工业）工程技术人员、软件和信息技术服务人员、电气工程技术人员,上海、深圳、苏州、北京、武汉,537890.0,4603457.0,984310.0,0.0014080265379505,技术性技能×非技术性技能,-0.0124622828006834,0.0063122627145743,0.0509743188462829,-0.024978333722983,5.3768121616179845e-05,106.0,133909.73351705435,-1.2384950134910158,-2.4668956408015603,0.0053769567147538,0.1297528116087201,591480.0,0.1421264450128772,0.1101614568745204,0.1740914331512341,44.067710401221305,可预测,trend_seasonal,0.0110153482242528,537890.0
JZ05408,组织协调与商业执行+金融风控、投资与合规,技能簇组合,组织协调与商业执行,金融风控、投资与合规,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796578075336444,,,,-8.05717972265474,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,非技术性技能,14.0,专业知识与职能,2.0,14.0,136036.0,47116.0,10500.0,2.9564848643006263,0.7002778676232762,167.0,397.0,27.258964088573624,销售人员、证券期货基金专业人员、管理（工业）工程技术人员、会计专业人员、商务专业人员,上海、北京、深圳、杭州、广州,616680.0,4603457.0,804400.0,0.1307754429276325,非技术性技能×专业知识与职能,-0.0019185576519377,0.0076115436587113,0.8015900080186966,-0.0170473248636691,0.0132102095597937,88.0,87461.91572602617,-0.1916718396632955,-1.6902841405004965,1.3297849868505969,0.8591203913693207,591480.0,0.0788520895613789,0.0571064362006904,0.1005977429220674,-1.0114739499014869,可预测,seasonal_3y,0.0082075865408112,616680.0
JZ05409,组织协调与商业执行+人力资源与行政管理,技能簇组合,组织协调与商业执行,人力资源与行政管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0476854669642253,,,,-17.733938002235522,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,非技术性技能,17.0,专业知识与职能,2.0,17.0,80372.0,28205.0,10000.0,3.0631050116407303,0.6724605584034241,131.0,377.0,13.472479263932028,人力资源专业人员、行政事务处理人员、销售人员、管理（工业）工程技术人员、商务专业人员,上海、深圳、北京、广州、杭州,365399.0,4603457.0,530022.0,0.0751932049655778,非技术性技能×专业知识与职能,0.0196702603522087,0.0080264708671397,0.0167977700235033,0.0036578890963164,0.035682631608101,70.0,59594.10159232861,1.986499465246938,0.3664587337287664,3.632689689383364,0.0553338306656582,591480.0,0.0459120731640017,0.0144628387085376,0.0773613076194659,-3.7189397800256208,可预测,seasonal_3y,0.0076932192209514,365399.0
JZ05410,Java后端开发与中间件+软件测试与质量保障,技能簇组合,Java后端开发与中间件,软件测试与质量保障,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045157908974098,,,,5.785997067891853,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,技术性技能,21.0,技术性技能,3.0,21.0,11138.0,2671.0,13500.0,2.8511368090944726,0.8169330220865505,28.0,171.0,2.0216466531783217,软件和信息技术服务人员、信息和通信工程技术人员、数字技术工程技术人员、管理（工业）工程技术人员、商务咨询服务人员,北京、深圳、上海、广州、南京,69688.0,745695.0,176381.0,0.3125416604895673,技术性技能×技术性技能,0.0010371732066708,0.0025352730397272,0.6886580363187162,-0.0044004466591709,0.0064747930725126,15.0,28152.878909340205,0.1037711256802164,-0.4390778879818585,0.649579985890341,0.7699912255852605,591480.0,0.005094390604199,0.0002421653892511,0.013433550075488,12.812809980219676,可预测,seasonal_3y,0.0044317752828266,69688.0
JZ05411,视觉设计与数字内容制作+工业自动化与电气控制,技能簇组合,视觉设计与数字内容制作,工业自动化与电气控制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0096368431730574,,,,20.965942738603115,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,技术性技能,9.0,技术性技能,5.0,9.0,16412.0,5700.0,11500.0,2.7960521868451296,0.6508652205703144,116.0,313.0,25.28163618120848,商务专业人员、销售人员、机械工程技术人员、软件和信息技术服务人员、信息和通信工程技术人员,深圳、上海、苏州、北京、杭州,65929.0,915310.0,984310.0,-0.0988631159452389,技术性技能×技术性技能,-0.0243458780862713,0.0073776382042414,0.0015144204109863,-0.0390564708539829,-0.0096352853185596,72.0,40216.51436084267,-2.405190768443256,-3.8303600204035377,-0.9589014686470456,0.0094230603350259,591480.0,0.0117334374469177,0.0071043711445324,0.016362503749303,21.75602773864731,可预测,trend_seasonal,0.0016594891898025,65929.0
JZ05412,视觉设计与数字内容制作+金融风控、投资与合规,技能簇组合,视觉设计与数字内容制作,金融风控、投资与合规,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008428011090823,,,,-0.2807390778146457,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,技术性技能,14.0,专业知识与职能,5.0,14.0,14837.0,4985.0,11000.0,2.9673128944995493,0.731279908337265,102.0,314.0,29.676998347886844,销售人员、商务专业人员、证券期货基金专业人员、管理（工业）工程技术人员、软件和信息技术服务人员,北京、上海、深圳、广州、成都,77947.0,915310.0,804400.0,-0.0235990165782925,技术性技能×专业知识与职能,-0.0153252385022725,0.0090908193255074,0.0971179179785898,-0.0335159259556485,0.0028654489511033,60.0,42597.53655548619,-1.5208404631781278,-3.2960489919583695,0.2869558274029946,0.2091770541077319,591480.0,0.0083999371830415,0.0050912117007569,0.0117086626653261,-0.3331024067117494,可预测,seasonal_3y,0.0012189491608172,77947.0
JZ05413,视觉设计与数字内容制作+人力资源与行政管理,技能簇组合,视觉设计与数字内容制作,人力资源与行政管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0050196118211942,,,,-16.726481006908113,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,技术性技能,17.0,专业知识与职能,5.0,17.0,8378.0,2969.0,10000.0,3.0644533782907533,0.7212938648842205,80.0,297.0,14.820881403908764,人力资源专业人员、行政事务处理人员、商务专业人员、销售人员、管理（工业）工程技术人员,深圳、上海、广州、北京、苏州,39554.0,915310.0,530022.0,-0.0692975481294227,技术性技能×专业知识与职能,-0.0064426428639866,0.0150144709493227,0.66990106825525,-0.0366833396852705,0.0237980539572972,46.0,20677.37605908984,-0.6421933538580115,-3.601865834181709,2.408348739934735,0.7617149202496244,591480.0,0.0033469637205034,0.001394802982441,0.0052991244585659,-33.322259972940415,可预测,trend_seasonal,0.0008787216774979,39554.0
JZ05414,质量管理与持续改进+Web前端开发,技能簇组合,质量管理与持续改进,Web前端开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013204165821329,,,,2.519016928688744,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,专业知识与职能,10.0,技术性技能,6.0,10.0,2116.0,781.0,12500.0,3.3411705852926463,0.5978260869565217,40.0,139.0,8.945548816103988,信息和通信工程技术人员、管理（工业）工程技术人员、软件和信息技术服务人员、机械工程技术人员、生产现场技术工艺人员,深圳、上海、苏州、北京、广州,10723.0,774293.0,321881.0,-0.1515684013765933,技术性技能×专业知识与职能,0.0096879589554076,0.0201991156786364,0.6369701563003409,-0.0325892760377535,0.0519651939485688,20.0,6929.6458602840785,0.973503914392323,-3.2063967519914622,5.333907930114899,0.7393281167664504,591480.0,0.0015723182750018,0.0008445035541238,0.0023001329958798,19.077440883237102,可预测,trend_seasonal,0.0003549788221694,10723.0
JZ05415,质量管理与持续改进+医药研发与药事管理,技能簇组合,质量管理与持续改进,医药研发与药事管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232958003651856,,,,80.25494879084515,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,专业知识与职能,18.0,专业知识与职能,6.0,18.0,36143.0,13779.0,10500.0,2.8573906041931187,0.7006059264587887,103.0,345.0,13.6088662758996,管理（工业）工程技术人员、生产现场技术工艺人员、医疗卫生技术人员、检验试验人员、机械工程技术人员,上海、成都、北京、苏州、杭州,100021.0,774293.0,482409.0,0.1842015164939696,专业知识与职能×专业知识与职能,-0.0224634032731447,0.0155194838004062,0.1538952988652553,-0.0536200670745198,0.0086932605282302,52.0,31127.29156045084,-2.2212979656934637,-5.2207864457172075,0.8731156651561237,0.2828041884107293,591480.0,0.0313212952442701,0.0214215035621515,0.0412210869263887,34.45039343262144,可预测,trend_seasonal,0.0051786624352381,100021.0
JZ05416,工业自动化与电气控制+金融风控、投资与合规,技能簇组合,工业自动化与电气控制,金融风控、投资与合规,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0133039156015418,,,,0.690677947323519,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,技术性技能,14.0,专业知识与职能,9.0,14.0,23359.0,7869.0,10000.0,2.8066472586123243,0.5790487606490003,119.0,348.0,29.497810272108165,销售人员、管理（工业）工程技术人员、机械工程技术人员、证券期货基金专业人员、会计专业人员,北京、上海、深圳、杭州、苏州,93397.0,984310.0,804400.0,-0.000543617820695,技术性技能×专业知识与职能,-0.0188765734184289,0.0108488677528144,0.0860238072530023,-0.0404934142893775,0.0027402674525195,75.0,52222.87737169316,-1.8699526668594249,-3.968451114949631,0.2744025417200683,0.1907854735116092,591480.0,0.0133729833962742,0.0093149524529046,0.0174310143396438,0.5191538852241884,可预测,seasonal_3y,0.0017860139798768,93397.0
JZ05417,工业自动化与电气控制+人力资源与行政管理,技能簇组合,工业自动化与电气控制,人力资源与行政管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061405288429025,,,,-3.4030448331642034,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,技术性技能,17.0,专业知识与职能,9.0,17.0,10657.0,3632.0,10000.0,3.2156800339486526,0.5602890119170498,96.0,328.0,21.760563971254825,人力资源专业人员、机械工程技术人员、行政事务处理人员、销售人员、管理（工业）工程技术人员,上海、深圳、北京、苏州、武汉,41322.0,984310.0,530022.0,-0.0753073424808403,技术性技能×专业知识与职能,0.0092150243599692,0.0154501766710047,0.5530918118672012,-0.0216795133037104,0.0401095620236489,62.0,23286.51232382589,0.9257613416156142,-2.144620172394379,4.092481377413398,0.6921372394315815,591480.0,0.0058002243595861,0.0027566656080314,0.0088437831111408,-5.541940963436021,可预测,trend_seasonal,0.001159121575485,41322.0
JZ05418,财务会计与税务管理+软件测试与质量保障,技能簇组合,财务会计与税务管理,软件测试与质量保障,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003415161966592,,,,-0.2202058956581948,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,专业知识与职能,21.0,技术性技能,12.0,21.0,468.0,202.0,14000.0,3.320627802690583,0.8354700854700855,23.0,65.0,6.269137314077882,软件和信息技术服务人员、管理（工业）工程技术人员、电子工程技术人员、信息和通信工程技术人员、会计专业人员,无锡、北京、广州、上海、深圳,1425.0,522989.0,176381.0,-0.2342513477150234,技术性技能×专业知识与职能,,,,,,9.0,1049.0843041037867,,,,,591480.0,0.0003194956070934,6.58348104047668e-05,0.0005919120335043,-6.4478902556390665,可预测,seasonal_3y,0.0001420916683194,1425.0
JZ05419,网络通信与软件开发基础+财务会计与税务管理,技能簇组合,网络通信与软件开发基础,财务会计与税务管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008859133022249,,,,1.1502300987975924,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,技术性技能,12.0,专业知识与职能,7.0,12.0,1690.0,524.0,11500.0,2.883939774153074,0.7526627218934911,44.0,154.0,9.289752232396962,信息和通信工程技术人员、软件和信息技术服务人员、会计专业人员、信息通信网络运行管理人员、管理（工业）工程技术人员,深圳、北京、上海、广州、苏州,8927.0,687467.0,522989.0,-0.2277276149993467,技术性技能×专业知识与职能,-0.0768443138871778,0.0145465986735363,2.6646950727191332e-05,-0.1070121131058332,-0.0466765146685225,23.0,4920.442043451478,-7.396598697977696,-10.148521088034638,-4.560391920700858,0.0003141535243626,591480.0,0.0010009363121046,0.000322488101144,0.0016851819931748,12.983551504519086,可预测,seasonal_3y,0.0002943120444752,8927.0
JZ05420,网络通信与软件开发基础+安全环保与职业健康,技能簇组合,网络通信与软件开发基础,安全环保与职业健康,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000973828362751,,,,1.814514722209838,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,技术性技能,20.0,专业知识与职能,7.0,20.0,2224.0,576.0,12499.5,2.9503649635036497,0.7189748201438849,54.0,171.0,8.807721164048607,信息和通信工程技术人员、软件和信息技术服务人员、信息通信网络运行管理人员、管理（工业）工程技术人员、安全生产管理人员,北京、上海、深圳、广州、苏州,9618.0,687467.0,314324.0,-0.1441303441985958,技术性技能×专业知识与职能,-0.0688228894731436,0.0114858464785085,4.135663277993377e-06,-0.0925831732030151,-0.0450626057432721,24.0,5738.989216706222,-6.650800330253564,-8.842661066723268,-4.406236722634956,6.17592382847011e-05,591480.0,0.001155279834972,0.0,0.0035043662033584,18.63279805369227,可预测,seasonal_3y,0.0007006222747269,9618.0
JZ05421,Web前端开发+金融风控、投资与合规,技能簇组合,Web前端开发,金融风控、投资与合规,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007371339690268,,,,-3.028280597165595,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,技术性技能,14.0,专业知识与职能,10.0,14.0,1295.0,436.0,12000.0,2.6046901172529315,0.8285714285714286,42.0,186.0,9.919448118461371,信息和通信工程技术人员、软件和信息技术服务人员、销售人员、行政事务处理人员、管理（工业）工程技术人员,北京、上海、深圳、广州、武汉,11648.0,321881.0,804400.0,-0.1467022976351031,技术性技能×专业知识与职能,0.0110897131126882,0.0141773610965399,0.4437293254711761,-0.0185838446904016,0.0407632709157782,20.0,7780.202456184651,1.115143191810071,-1.8412229781248668,4.160549804137522,0.5979557652009457,591480.0,0.0004343059093102,0.0,0.0012365336547923,-41.081821275493255,可预测,trend_seasonal,0.000344641683882,11648.0
